council_district,standardized_category,lat_bin_approx_100m,lon_bin_approx_100m,cluster_request_count,open_cluster_count,long_resolution_cluster_count,median_resolution_days
C,Solid Waste / Recycling,29.8,-95.391,6,2,0,6.36359375
A,Solid Waste / Recycling,29.83,-95.49,6,1,1,0.0035879629629629
A,Solid Waste / Recycling,29.832,-95.512,6,1,3,14.727847222222222
I,Water,29.744,-95.295,6,1,0,0.080474537037037
I,Water,29.745,-95.257,6,0,1,3.479085648148148
C,Solid Waste / Recycling,29.781,-95.421,5,1,1,3.094363425925926
+,Solid Waste / Recycling,0.0,0.0,5,1,2,14.21657986111111
+,Solid Waste / Recycling,29.612,-95.368,5,1,0,9.068813657407407
K,Water,29.682,-95.399,5,0,0,0.9644212962962962
I,Water,29.75,-95.35,5,0,0,6.817939814814815
A,Solid Waste / Recycling,29.834,-95.532,5,0,3,19.355046296296297
A,Solid Waste / Recycling,29.836,-95.552,5,2,2,22.808246527777776
A,Solid Waste / Recycling,29.836,-95.478,5,0,1,4.624513888888889
I,Traffic Signals / Lighting,29.757,-95.363,5,0,0,0.2816898148148148
K,Water,29.616,-95.422,5,0,1,0.7803240740740741
K,Water,29.634,-95.458,5,0,0,0.3250578703703703
C,Solid Waste / Recycling,29.801,-95.419,5,1,0,9.55060763888889
C,Solid Waste / Recycling,29.802,-95.445,5,0,3,18.73755787037037
C,Solid Waste / Recycling,29.778,-95.425,5,0,1,15.546435185185187
C,Solid Waste / Recycling,29.779,-95.414,5,3,0,3.2515277777777776
C,Solid Waste / Recycling,29.803,-95.413,5,2,0,8.064328703703703
C,Solid Waste / Recycling,29.803,-95.394,5,2,2,39.80356481481481
A,Solid Waste / Recycling,29.841,-95.546,5,0,1,4.7403356481481485
A,Solid Waste / Recycling,29.843,-95.483,5,2,0,9.64675925925926
A,Solid Waste / Recycling,29.843,-95.468,5,0,2,7.633888888888888
B,Solid Waste / Recycling,29.868,-95.29,5,1,0,9.720474537037036
K,Solid Waste / Recycling,29.603,-95.487,5,4,0,2.8050925925925925
K,Solid Waste / Recycling,29.608,-95.427,5,0,1,9.08792824074074
A,Solid Waste / Recycling,29.802,-95.555,5,0,1,7.352002314814815
F,Solid Waste / Recycling,29.68,-95.578,5,2,0,1.0239236111111112
B,Solid Waste / Recycling,29.876,-95.445,5,3,1,17.098177083333333
B,Solid Waste / Recycling,29.877,-95.449,5,2,1,0.5711458333333334
F,Solid Waste / Recycling,29.691,-95.571,5,1,0,0.7684143518518518
F,Solid Waste / Recycling,29.693,-95.611,5,1,0,4.2402141203703705
B,Solid Waste / Recycling,29.873,-95.427,5,2,0,7.511296296296296
B,Solid Waste / Recycling,29.873,-95.314,5,1,1,0.1289293981481481
B,Solid Waste / Recycling,29.874,-95.417,5,4,0,
F,Solid Waste / Recycling,29.695,-95.589,5,1,0,3.122146990740741
F,Solid Waste / Recycling,29.697,-95.59,5,1,0,9.403842592592593
F,Solid Waste / Recycling,29.697,-95.586,5,1,0,4.849739583333333
F,Solid Waste / Recycling,29.699,-95.597,5,1,0,0.3301793981481481
K,Solid Waste / Recycling,29.609,-95.428,5,2,3,76.00850694444445
K,Solid Waste / Recycling,29.616,-95.445,5,0,1,6.907060185185185
B,Solid Waste / Recycling,29.869,-95.443,5,4,0,
F,Solid Waste / Recycling,29.709,-95.578,5,0,2,7.784861111111111
F,Solid Waste / Recycling,29.71,-95.578,5,2,3,71.69989583333333
F,Solid Waste / Recycling,29.711,-95.619,5,0,1,0.9324305555555557
F,Solid Waste / Recycling,29.711,-95.616,5,0,0,1.5522569444444445
F,Solid Waste / Recycling,29.711,-95.59,5,2,0,4.707546296296297
F,Solid Waste / Recycling,29.659,-95.592,5,0,0,1.7576273148148147
B,Solid Waste / Recycling,29.877,-95.42,5,3,1,133.23247685185186
B,Solid Waste / Recycling,29.878,-95.424,5,1,3,59.87945601851851
B,Solid Waste / Recycling,29.879,-95.294,5,1,0,5.958541666666667
F,Solid Waste / Recycling,29.68,-95.584,5,1,2,64.66283564814815
B,Solid Waste / Recycling,29.873,-95.437,5,2,0,0.0035532407407407
F,Solid Waste / Recycling,29.7,-95.619,5,0,0,4.9981481481481485
F,Solid Waste / Recycling,29.708,-95.579,5,0,1,4.974479166666667
F,Solid Waste / Recycling,29.726,-95.633,5,0,1,4.6431712962962965
F,Solid Waste / Recycling,29.729,-95.538,5,1,1,4.935011574074074
F,Solid Waste / Recycling,29.73,-95.613,5,0,1,8.31853587962963
F,Solid Waste / Recycling,29.73,-95.612,5,0,1,7.268425925925926
F,Solid Waste / Recycling,29.731,-95.61,5,0,1,8.751660879629629
F,Solid Waste / Recycling,29.731,-95.537,5,1,1,4.860688657407407
F,Road / Pothole / Bridge,29.687,-95.596,5,1,0,4.434108796296297
F,Road / Pothole / Bridge,29.72,-95.644,5,0,0,0.5388888888888889
F,Road / Pothole / Bridge,29.728,-95.621,5,2,0,0.8631365740740741
F,Sewer / Wastewater,29.674,-95.59,5,1,0,0.45434027777777775
B,Solid Waste / Recycling,29.88,-95.426,5,1,2,60.37758680555555
B,Solid Waste / Recycling,29.881,-95.289,5,0,1,4.730636574074074
B,Solid Waste / Recycling,29.882,-95.426,5,2,0,7.511851851851852
B,Solid Waste / Recycling,29.882,-95.421,5,3,1,31.922100694444445
F,Solid Waste / Recycling,29.652,-95.574,5,0,2,13.333159722222222
A,Solid Waste / Recycling,29.803,-95.555,5,0,4,33.860844907407404
K,Solid Waste / Recycling,29.598,-95.471,5,0,1,4.529456018518518
E,Traffic Signals / Lighting,30.05,-95.241,5,0,1,0.0035185185185185
E,Traffic Signals / Lighting,30.051,-95.18,5,0,1,0.6381134259259259
E,Traffic Signals / Lighting,30.068,-95.242,5,0,0,0.1054166666666666
E,Water,30.052,-95.167,5,1,1,4.129652777777777
B,Solid Waste / Recycling,29.883,-95.296,5,1,1,6.961064814814815
F,Road / Pothole / Bridge,29.661,-95.609,5,0,2,13.802905092592592
F,Solid Waste / Recycling,29.734,-95.53,5,0,2,4.822013888888889
F,Solid Waste / Recycling,29.735,-95.614,5,0,1,11.909791666666667
B,Solid Waste / Recycling,29.864,-95.449,5,1,3,54.55119212962963
B,Solid Waste / Recycling,29.864,-95.423,5,5,0,
B,Solid Waste / Recycling,29.865,-95.359,5,2,1,18.551805555555557
F,Traffic Signals / Lighting,29.656,-95.571,5,1,0,0.013414351851851799
F,Solid Waste / Recycling,29.712,-95.614,5,0,0,5.2635300925925925
F,Solid Waste / Recycling,29.712,-95.589,5,2,0,4.279675925925926
F,Solid Waste / Recycling,29.722,-95.621,5,4,0,5.968784722222222
K,Solid Waste / Recycling,29.617,-95.42,5,0,1,7.016018518518519
K,Solid Waste / Recycling,29.62,-95.433,5,0,2,1.9895949074074075
K,Solid Waste / Recycling,29.622,-95.462,5,0,1,3.599386574074074
E,Traffic Signals / Lighting,29.571,-95.149,5,0,0,0.0177314814814814
E,Traffic Signals / Lighting,29.58,-95.106,5,0,0,0.0154166666666666
B,Solid Waste / Recycling,29.886,-95.293,5,0,0,6.299710648148148
E,Traffic Signals / Lighting,29.653,-95.251,5,0,0,0.6840162037037038
E,Traffic Signals / Lighting,29.771,-95.187,5,0,0,0.0090625
F,Traffic Signals / Lighting,29.715,-95.588,5,2,0,4.436527777777778
F,Traffic Signals / Lighting,29.722,-95.514,5,1,1,0.3435011574074074
B,Solid Waste / Recycling,29.86,-95.291,5,2,1,12.861354166666668
K,Solid Waste / Recycling,29.596,-95.478,5,2,1,3.783113425925926
K,Solid Waste / Recycling,29.596,-95.47,5,0,0,1.7157291666666667
K,Solid Waste / Recycling,29.597,-95.493,5,0,0,4.145104166666667
K,Solid Waste / Recycling,29.597,-95.489,5,0,1,9.911805555555556
A,Solid Waste / Recycling,29.804,-95.504,5,1,2,19.21648726851852
K,Solid Waste / Recycling,29.6,-95.473,5,4,0,
K,Solid Waste / Recycling,29.601,-95.459,5,1,1,5.261898148148148
K,Solid Waste / Recycling,29.602,-95.475,5,0,1,1.9941898148148147
B,Solid Waste / Recycling,29.861,-95.428,5,3,1,31.814126157407408
B,Solid Waste / Recycling,29.861,-95.289,5,0,1,7.893310185185185
F,Traffic Signals / Lighting,29.728,-95.558,5,0,0,1.5590277777777777
F,Traffic Signals / Lighting,29.729,-95.653,5,1,1,7.249797453703704
B,Solid Waste / Recycling,29.9,-95.415,5,2,1,1.075625
B,Solid Waste / Recycling,29.9,-95.289,5,1,0,5.396730324074074
E,Solid Waste / Recycling,30.021,-95.119,5,0,0,7.520266203703704
E,Solid Waste / Recycling,30.04,-95.248,5,1,0,6.469010416666666
E,Traffic Signals / Lighting,29.558,-95.117,5,0,0,0.7955092592592593
A,Solid Waste / Recycling,29.801,-95.531,5,3,0,
A,Solid Waste / Recycling,29.801,-95.49,5,1,1,10.185243055555556
A,Solid Waste / Recycling,29.802,-95.557,5,0,0,7.752858796296296
K,Solid Waste / Recycling,29.617,-95.434,5,0,3,37.989953703703705
F,Water,29.73,-95.609,5,0,0,0.1197337962962963
F,Water,29.736,-95.564,5,0,0,0.2722337962962963
E,Solid Waste / Recycling,29.687,-95.236,5,2,2,29.72550925925926
E,Solid Waste / Recycling,29.697,-95.247,5,1,2,15.202065972222222
E,Solid Waste / Recycling,29.766,-95.202,5,2,1,10.7415625
B,Solid Waste / Recycling,29.888,-95.29,5,1,0,3.7115856481481484
F,Traffic Signals / Lighting,29.736,-95.644,5,2,0,0.6798148148148148
F,Water,29.658,-95.591,5,0,0,0.1796064814814814
F,Water,29.661,-95.59,5,2,0,1.2495717592592592
F,Water,29.662,-95.589,5,0,1,0.1788194444444444
B,Solid Waste / Recycling,29.859,-95.418,5,4,0,
F,Water,29.68,-95.583,5,1,0,0.41949652777777774
F,Water,29.697,-95.615,5,0,0,0.0925
F,Water,29.698,-95.618,5,0,0,0.731400462962963
F,Water,29.709,-95.588,5,1,1,0.0009375
K,Solid Waste / Recycling,29.599,-95.486,5,2,0,0.8845717592592592
E,Solid Waste / Recycling,29.579,-95.142,5,0,2,15.60144675925926
E,Solid Waste / Recycling,29.582,-95.145,5,0,3,17.844201388888887
E,Solid Waste / Recycling,29.588,-95.139,5,0,3,18.029155092592596
E,Solid Waste / Recycling,29.601,-95.121,5,0,1,10.77011574074074
E,Solid Waste / Recycling,29.606,-95.194,5,0,2,7.793900462962963
B,Traffic Signals / Lighting,29.794,-95.316,5,0,0,0.9194907407407408
E,Solid Waste / Recycling,29.616,-95.124,5,0,2,8.36625
E,Solid Waste / Recycling,29.619,-95.208,5,0,2,13.711481481481481
E,Solid Waste / Recycling,29.62,-95.199,5,0,1,8.062349537037036
E,Solid Waste / Recycling,29.639,-95.237,5,1,0,5.934693287037037
G,Road / Pothole / Bridge,29.763,-95.467,5,1,0,2.857528935185185
K,Solid Waste / Recycling,29.588,-95.455,5,0,0,0.3923958333333333
A,Solid Waste / Recycling,29.806,-95.552,5,0,2,29.796215277777776
F,Water,29.718,-95.621,5,0,0,0.7205787037037037
F,Water,29.728,-95.621,5,0,0,0.2334143518518518
B,Solid Waste / Recycling,29.857,-95.272,5,0,1,7.720289351851853
K,Solid Waste / Recycling,29.595,-95.454,5,0,1,4.170497685185185
G,Sewer / Wastewater,29.745,-95.43,5,0,0,0.0049074074074074
B,Solid Waste / Recycling,29.855,-95.257,5,0,3,16.57849537037037
B,Solid Waste / Recycling,29.855,-95.248,5,0,1,3.6217939814814817
G,Sewer / Wastewater,29.776,-95.594,5,0,0,0.6165393518518518
G,Solid Waste / Recycling,29.737,-95.457,5,0,0,7.447013888888889
B,Traffic Signals / Lighting,29.831,-95.319,5,0,0,0.1107986111111111
B,Traffic Signals / Lighting,29.831,-95.302,5,0,0,0.019317129629629552
E,Solid Waste / Recycling,29.563,-95.13,5,0,2,4.025601851851852
E,Solid Waste / Recycling,29.564,-95.128,5,0,1,4.161238425925926
E,Solid Waste / Recycling,29.566,-95.143,5,0,0,0.6489641203703704
E,Solid Waste / Recycling,29.567,-95.144,5,0,0,0.6455208333333333
E,Solid Waste / Recycling,29.572,-95.143,5,0,4,32.78623842592593
E,Solid Waste / Recycling,29.572,-95.139,5,0,5,32.49840277777778
E,Solid Waste / Recycling,29.572,-95.135,5,0,4,35.348072916666666
E,Solid Waste / Recycling,29.574,-95.148,5,0,4,19.897534722222225
D,Water,29.723,-95.381,5,1,0,0.6557465277777778
D,Water,29.74,-95.379,5,0,0,0.5820023148148148
D,Water,29.741,-95.368,5,1,0,1.9535416666666667
B,Traffic Signals / Lighting,29.855,-95.262,5,1,0,0.3586689814814814
B,Traffic Signals / Lighting,29.871,-95.338,5,1,0,2.209907407407407
B,Traffic Signals / Lighting,29.871,-95.306,5,2,1,1.0918171296296295
E,Road / Pothole / Bridge,30.054,-95.164,5,2,0,0.614224537037037
G,Solid Waste / Recycling,29.738,-95.451,5,1,2,60.33105902777777
B,Solid Waste / Recycling,29.853,-95.239,5,0,2,12.01019675925926
B,Solid Waste / Recycling,29.853,-95.237,5,2,0,3.951550925925926
B,Solid Waste / Recycling,29.854,-95.249,5,0,1,7.82738425925926
G,Solid Waste / Recycling,29.742,-95.489,5,2,2,16.828391203703703
G,Solid Waste / Recycling,29.743,-95.489,5,0,3,25.813281250000003
G,Solid Waste / Recycling,29.744,-95.623,5,1,2,14.256203703703704
G,Solid Waste / Recycling,29.744,-95.451,5,0,4,33.46440972222222
K,Solid Waste / Recycling,29.592,-95.471,5,0,2,7.99625
K,Solid Waste / Recycling,29.582,-95.447,5,0,1,2.530162037037037
K,Solid Waste / Recycling,29.583,-95.478,5,0,0,2.109710648148148
D,Water,29.673,-95.361,5,0,0,0.0834375
D,Water,29.682,-95.338,5,0,0,0.3848611111111111
D,Water,29.695,-95.392,5,0,0,0.3208506944444444
D,Water,29.695,-95.391,5,0,0,0.0726736111111111
D,Water,29.705,-95.392,5,0,0,0.0902546296296296
B,Traffic Signals / Lighting,29.913,-95.355,5,1,0,0.0008217592592592001
B,Traffic Signals / Lighting,29.938,-95.432,5,0,0,0.3297685185185185
B,Traffic Signals / Lighting,29.94,-95.425,5,2,0,0.6044675925925926
B,Traffic Signals / Lighting,29.95,-95.411,5,1,0,1.2349942129629632
B,Solid Waste / Recycling,29.852,-95.246,5,1,3,20.04461226851852
G,Solid Waste / Recycling,29.746,-95.414,5,0,0,13.461828703703704
G,Solid Waste / Recycling,29.765,-95.558,5,4,0,0.0043287037037037
G,Solid Waste / Recycling,29.774,-95.557,5,0,3,29.220781249999998
B,Solid Waste / Recycling,29.852,-95.267,5,0,0,7.742175925925926
G,Traffic Signals / Lighting,29.732,-95.467,5,1,0,2.0813310185185183
G,Traffic Signals / Lighting,29.738,-95.496,5,0,0,0.1031134259259259
D,Water,29.616,-95.307,5,0,1,0.0628703703703703
D,Water,29.627,-95.35,5,0,0,0.0604629629629629
D,Water,29.637,-95.357,5,1,0,3.624959490740741
D,Water,29.638,-95.403,5,0,0,0.3365393518518518
D,Water,29.647,-95.334,5,3,1,17.400017361111114
D,Water,29.648,-95.341,5,1,1,3.0212037037037036
D,Water,29.66,-95.365,5,0,1,0.731574074074074
B,Traffic Signals / Lighting,29.986,-95.309,5,1,0,1.2003935185185186
B,Water,29.77,-95.33,5,1,0,0.524525462962963
G,Solid Waste / Recycling,29.778,-95.551,5,2,0,2.8513310185185183
G,Solid Waste / Recycling,29.78,-95.572,5,0,3,20.524774305555553
G,Traffic Signals / Lighting,29.731,-95.463,5,0,0,0.0057060185185185
K,Solid Waste / Recycling,29.577,-95.518,5,0,1,9.87980324074074
K,Solid Waste / Recycling,29.578,-95.518,5,0,1,4.7704050925925925
K,Drainage / Flooding,29.628,-95.468,5,5,0,
A,Solid Waste / Recycling,29.809,-95.521,5,0,0,3.028125
A,Solid Waste / Recycling,29.8,-95.538,5,0,4,31.4393287037037
K,Solid Waste / Recycling,29.626,-95.461,5,1,0,2.4685243055555555
K,Solid Waste / Recycling,29.629,-95.455,5,2,0,1.801423611111111
K,Solid Waste / Recycling,29.629,-95.42,5,0,1,4.556649305555555
D,Traffic Signals / Lighting,29.739,-95.382,5,1,0,0.6152314814814814
D,Traffic Signals / Lighting,29.747,-95.381,5,1,1,23.642309027777777
D,Water,29.591,-95.219,5,0,0,0.5453819444444444
B,Water,29.808,-95.325,5,0,0,0.1582291666666666
B,Water,29.841,-95.277,5,0,0,0.17248263888888885
D,Water,29.615,-95.307,5,1,0,0.07780092592592584
K,Solid Waste / Recycling,29.585,-95.469,5,2,0,5.0975983796296305
K,Solid Waste / Recycling,29.586,-95.516,5,0,3,23.026608796296298
B,Solid Waste / Recycling,29.849,-95.267,5,0,2,5.193252314814814
B,Solid Waste / Recycling,29.85,-95.42,5,4,0,7.779386574074074
G,Traffic Signals / Lighting,29.75,-95.498,5,0,0,0.0069907407407407
D,Traffic Signals / Lighting,29.706,-95.403,5,0,0,0.0018981481481481
D,Traffic Signals / Lighting,29.72,-95.353,5,0,0,0.5791782407407408
D,Traffic Signals / Lighting,29.722,-95.377,5,0,0,7.812916666666666
D,Traffic Signals / Lighting,29.729,-95.369,5,0,0,0.281724537037037
K,Solid Waste / Recycling,29.623,-95.433,5,0,0,2.521446759259259
K,Solid Waste / Recycling,29.624,-95.455,5,1,3,14.959976851851852
K,Solid Waste / Recycling,29.625,-95.434,5,0,2,6.727777777777778
A,Solid Waste / Recycling,29.798,-95.465,5,1,2,59.39612268518519
A,Solid Waste / Recycling,29.799,-95.505,5,0,2,10.93537037037037
G,Traffic Signals / Lighting,29.74,-95.467,5,0,1,0.0093518518518518
G,Traffic Signals / Lighting,29.742,-95.45,5,1,0,1.2968402777777777
G,Traffic Signals / Lighting,29.748,-95.572,5,1,1,0.34369212962962964
G,Traffic Signals / Lighting,29.748,-95.457,5,1,1,7.5906770833333335
J,Water,29.734,-95.479,5,0,0,0.20809606481481474
J,Water,29.736,-95.481,5,0,0,0.8112384259259259
G,Traffic Signals / Lighting,29.778,-95.545,5,0,1,3.4140046296296296
G,Traffic Signals / Lighting,29.782,-95.532,5,0,0,0.8305902777777778
G,Water,29.735,-95.466,5,1,0,0.08009259259259255
G,Water,29.735,-95.465,5,0,0,0.1137037037037037
G,Water,29.738,-95.612,5,0,1,0.2833564814814814
B,Water,29.962,-95.56,5,0,0,0.1110185185185185
B,Water,29.967,-95.296,5,0,0,0.694849537037037
D,Traffic Signals / Lighting,29.68,-95.393,5,0,0,0.0052430555555555
B,Water,29.843,-95.282,5,0,0,0.345625
B,Water,29.857,-95.444,5,1,0,2.6451504629629627
K,Road / Pothole / Bridge,29.662,-95.523,5,1,0,2.3783738425925924
K,Road / Pothole / Bridge,29.662,-95.473,5,0,0,7.995787037037037
K,Sewer / Wastewater,29.585,-95.519,5,0,0,0.740625
K,Sewer / Wastewater,29.606,-95.469,5,0,0,0.9767708333333334
K,Sewer / Wastewater,29.635,-95.442,5,2,0,0.0576273148148148
K,Solid Waste / Recycling,29.572,-95.514,5,0,3,27.75582175925926
J,Water,29.688,-95.567,5,1,0,0.0688078703703703
J,Water,29.691,-95.526,5,1,1,0.0283564814814814
B,Water,29.942,-95.44,5,0,0,0.0853356481481481
G,Water,29.741,-95.588,5,1,0,1.0187037037037037
G,Water,29.743,-95.585,5,0,0,1.1199537037037035
B,Solid Waste / Recycling,29.84,-95.297,5,0,2,6.091168981481482
B,Solid Waste / Recycling,29.84,-95.28,5,0,4,54.930167824074076
G,Water,29.743,-95.488,5,0,1,0.8347685185185185
G,Water,29.746,-95.488,5,0,1,2.474895833333333
B,Solid Waste / Recycling,29.837,-95.323,5,0,3,18.042696759259258
B,Solid Waste / Recycling,29.837,-95.283,5,2,1,7.322650462962963
B,Solid Waste / Recycling,29.838,-95.276,5,0,2,8.858229166666666
G,Traffic Signals / Lighting,29.756,-95.498,5,0,1,0.0012152777777777
G,Traffic Signals / Lighting,29.757,-95.477,5,2,0,10.844971064814814
B,Solid Waste / Recycling,29.841,-95.265,5,0,1,3.2831597222222224
B,Solid Waste / Recycling,29.843,-95.285,5,1,2,18.543373842592594
G,Water,29.751,-95.473,5,1,0,0.12754629629629624
G,Water,29.754,-95.608,5,2,0,0.6452314814814815
G,Water,29.755,-95.613,5,0,1,0.7874652777777778
D,Solid Waste / Recycling,29.739,-95.362,5,0,2,5.171944444444445
D,Solid Waste / Recycling,29.74,-95.369,5,1,2,24.044791666666665
C,Road / Pothole / Bridge,29.671,-95.462,5,0,1,1.9736921296296297
C,Road / Pothole / Bridge,29.682,-95.459,5,1,0,0.009346064814814752
D,Solid Waste / Recycling,29.742,-95.371,5,2,0,1.8244675925925928
D,Solid Waste / Recycling,29.742,-95.362,5,0,3,16.834664351851853
B,Solid Waste / Recycling,29.838,-95.261,5,1,2,15.086996527777778
G,Water,29.747,-95.607,5,0,1,0.0199537037037037
G,Water,29.747,-95.44,5,0,0,0.0396759259259259
J,Water,29.686,-95.568,5,2,0,0.1165509259259259
J,Water,29.686,-95.566,5,1,0,0.0768287037037037
A,Solid Waste / Recycling,29.813,-95.537,5,0,4,29.520011574074076
A,Solid Waste / Recycling,29.813,-95.53,5,0,4,49.8104050925926
A,Solid Waste / Recycling,29.797,-95.559,5,0,3,28.79265046296296
A,Solid Waste / Recycling,29.797,-95.478,5,0,2,7.019722222222223
A,Solid Waste / Recycling,29.798,-95.687,5,2,1,5.750555555555556
K,Solid Waste / Recycling,29.634,-95.496,5,0,1,30.811840277777776
K,Solid Waste / Recycling,29.634,-95.458,5,1,2,14.0425
K,Solid Waste / Recycling,29.634,-95.457,5,0,1,0.9634837962962964
K,Solid Waste / Recycling,29.634,-95.42,5,0,1,6.016006944444444
K,Solid Waste / Recycling,29.634,-95.417,5,0,1,5.259618055555555
D,Solid Waste / Recycling,29.736,-95.364,5,1,1,9.900405092592592
D,Solid Waste / Recycling,29.736,-95.359,5,0,2,3.157326388888889
J,Water,29.693,-95.553,5,0,1,0.1971064814814815
J,Water,29.703,-95.556,5,1,0,0.5170717592592592
J,Water,29.721,-95.491,5,0,0,0.8319097222222223
G,Water,29.75,-95.537,5,0,0,0.194849537037037
B,Solid Waste / Recycling,29.835,-95.326,5,2,2,48.74033564814815
G,Water,29.751,-95.55,5,0,0,0.2607754629629629
B,Solid Waste / Recycling,29.827,-95.281,5,0,1,3.4560185185185186
B,Solid Waste / Recycling,29.827,-95.279,5,3,1,36.3987962962963
B,Solid Waste / Recycling,29.83,-95.325,5,0,1,6.182204861111112
B,Solid Waste / Recycling,29.83,-95.304,5,0,2,11.378072916666667
B,Solid Waste / Recycling,29.832,-95.3,5,0,1,2.269716435185185
G,Water,29.757,-95.465,5,1,0,4.122106481481482
G,Water,29.757,-95.409,5,0,0,0.1703125
G,Water,29.76,-95.466,5,1,0,0.001875
G,Water,29.774,-95.621,5,0,0,0.8767476851851852
G,Water,29.784,-95.607,5,0,0,2.8890277777777778
D,Solid Waste / Recycling,29.734,-95.36,5,1,2,13.847054398148149
D,Solid Waste / Recycling,29.735,-95.363,5,0,0,3.016215277777778
C,Road / Pothole / Bridge,29.715,-95.413,5,1,2,17.418391203703703
C,Road / Pothole / Bridge,29.726,-95.419,5,0,1,0.9435590277777779
K,Solid Waste / Recycling,29.63,-95.42,5,0,1,7.537152777777778
K,Solid Waste / Recycling,29.631,-95.42,5,0,0,9.808206018518518
D,Solid Waste / Recycling,29.728,-95.358,5,0,1,3.679351851851852
D,Solid Waste / Recycling,29.729,-95.364,5,3,1,9.915017361111111
D,Solid Waste / Recycling,29.73,-95.377,5,1,2,32.96756944444444
D,Solid Waste / Recycling,29.731,-95.356,5,1,0,0.0036921296296296
D,Solid Waste / Recycling,29.733,-95.346,5,0,2,12.846875
H,Drainage / Flooding,29.748,-95.321,5,0,4,80.72853009259259
H,Drainage / Flooding,29.773,-95.377,5,0,0,3.8284722222222225
H,Drainage / Flooding,29.823,-95.415,5,1,0,3.642824074074074
B,Solid Waste / Recycling,29.824,-95.283,5,3,0,6.350792824074074
H,Sewer / Wastewater,29.754,-95.285,5,1,0,0.37028935185185186
H,Sewer / Wastewater,29.863,-95.371,5,0,0,0.1573842592592592
H,Sewer / Wastewater,29.864,-95.397,5,1,1,1.355034722222222
H,Solid Waste / Recycling,29.74,-95.321,5,0,0,7.737899305555556
H,Solid Waste / Recycling,29.743,-95.32,5,0,4,22.831064814814816
G,Water,29.755,-95.593,5,0,0,2.2013194444444446
G,Water,29.756,-95.544,5,1,0,0.0017013888888888
H,Solid Waste / Recycling,29.745,-95.33,5,1,3,15.554386574074076
H,Solid Waste / Recycling,29.745,-95.317,5,0,3,35.81868055555555
B,Solid Waste / Recycling,29.82,-95.282,5,0,1,14.860538194444445
H,Solid Waste / Recycling,29.748,-95.321,5,0,0,1.747824074074074
H,Solid Waste / Recycling,29.749,-95.34,5,1,1,4.760353009259259
B,Solid Waste / Recycling,29.81,-95.271,5,1,2,30.273836805555554
H,Solid Waste / Recycling,29.75,-95.329,5,0,0,0.0035300925925925
D,Solid Waste / Recycling,29.722,-95.381,5,0,2,6.842777777777778
C,Road / Pothole / Bridge,29.792,-95.446,5,0,0,0.4404282407407407
C,Road / Pothole / Bridge,29.804,-95.404,5,0,0,1.4376157407407408
D,Solid Waste / Recycling,29.725,-95.381,5,0,1,7.1778125
D,Solid Waste / Recycling,29.725,-95.374,5,1,1,7.554930555555555
D,Solid Waste / Recycling,29.725,-95.373,5,0,4,27.841608796296292
D,Solid Waste / Recycling,29.725,-95.353,5,2,2,40.92447916666666
D,Solid Waste / Recycling,29.726,-95.371,5,1,2,11.391325231481483
D,Solid Waste / Recycling,29.728,-95.371,5,1,1,6.5029108796296295
H,Solid Waste / Recycling,29.754,-95.341,5,0,2,8.9459375
H,Solid Waste / Recycling,29.754,-95.329,5,2,0,1.1333680555555556
H,Solid Waste / Recycling,29.756,-95.331,5,0,4,25.145509259259256
H,Solid Waste / Recycling,29.758,-95.345,5,0,0,8.162146990740741
H,Solid Waste / Recycling,29.758,-95.342,5,0,0,5.818738425925926
A,Solid Waste / Recycling,29.814,-95.537,5,1,2,14.395104166666666
A,Solid Waste / Recycling,29.814,-95.531,5,0,2,28.074641203703703
A,Solid Waste / Recycling,29.815,-95.548,5,1,1,10.356354166666668
A,Solid Waste / Recycling,29.815,-95.532,5,0,2,30.87997685185185
D,Solid Waste / Recycling,29.704,-95.355,5,0,1,6.43525462962963
D,Solid Waste / Recycling,29.706,-95.362,5,1,1,7.30083912037037
D,Solid Waste / Recycling,29.706,-95.348,5,0,2,10.887800925925925
D,Solid Waste / Recycling,29.716,-95.375,5,0,2,12.77008101851852
D,Solid Waste / Recycling,29.716,-95.352,5,1,1,1.3920138888888889
D,Solid Waste / Recycling,29.719,-95.356,5,2,2,19.934791666666666
H,Solid Waste / Recycling,29.743,-95.315,5,0,3,16.12146990740741
H,Solid Waste / Recycling,29.778,-95.36,5,1,1,22.569322916666664
H,Solid Waste / Recycling,29.778,-95.3,5,2,0,1.4683912037037037
H,Solid Waste / Recycling,29.78,-95.358,5,0,3,36.012442129629626
D,Solid Waste / Recycling,29.697,-95.363,5,0,1,8.547037037037036
D,Solid Waste / Recycling,29.697,-95.362,5,1,2,23.364392361111115
D,Solid Waste / Recycling,29.698,-95.371,5,0,1,7.503958333333333
D,Solid Waste / Recycling,29.701,-95.369,5,2,1,9.92324074074074
C,Sewer / Wastewater,29.805,-95.411,5,0,2,0.2415277777777777
C,Sewer / Wastewater,29.809,-95.404,5,0,0,0.642337962962963
D,Solid Waste / Recycling,29.704,-95.392,5,0,1,1.963136574074074
D,Solid Waste / Recycling,29.704,-95.364,5,1,2,10.695231481481482
J,Traffic Signals / Lighting,29.717,-95.468,5,2,1,11.945231481481482
H,Solid Waste / Recycling,29.764,-95.287,5,0,0,5.4222222222222225
H,Solid Waste / Recycling,29.773,-95.373,5,1,2,23.88123842592593
